"","Participant","Demo_country","Demo_lang1","Demo_lang2","Demo_lang3","Demo_moral_reason","Demo_religion","Demo_lang4","Demo_rightwrong","Demo_gender","Label","TrialType","Group","Number","Valence","R1A","R2","R3","R4","R5","R6"
"1",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","practice","2","NULL","none","none","Somewhat right","Maybe there is a correct answer","Some of them would agree with me","Somewhat easy",NA,NA
"2",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","practice","1","NULL","none","none","Right","Definitely no correct answer","Almost everyone would disagree with me","A little easy",NA,NA
"3",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase1","test","A","5","Pos","Very wrong","Probably no correct answer","Some of them would agree with me","A little difficult",NA,NA
"4",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase1","test","A","3","Pos","Somewhat right","Maybe no correct answer","Almost everyone would agree with me","Somewhat easy",NA,NA
"5",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase1","test","A","1","Pos","Somewhat right","Probably there is a correct answer","Most of them would disagree with me","A little easy",NA,NA
"6",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase1","test","A","4","Neg","Somewhat right","Definitely no correct answer","Most of them would disagree with me","A little easy",NA,NA
"7",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase1","test","A","6","Neg","Somewhat wrong","Definitely there is a correct answer","Some of them would disagree with me","Very easy",NA,NA
"8",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase1","test","A","10","Neg","Somewhat wrong","Maybe no correct answer","Some of them would disagree with me","A little easy",NA,NA
"9",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase1","test","A","9","Pos","Somewhat right","Maybe no correct answer","Some of them would disagree with me","A little easy",NA,NA
"10",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase1","test","A","8","Neg","Wrong","Probably there is a correct answer","Most of them would agree with me","A little difficult",NA,NA
