"","Participant","Demo_country","Demo_lang1","Demo_lang2","Demo_lang3","Demo_moral_reason","Demo_religion","Demo_lang4","Demo_rightwrong","Demo_gender","Label","TrialType","Group","Number","Valence","R1B","R2","R3","R4","R5","R6"
"1",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","practice","1","NULL","none","none","Somewhat bad","Probably there is a correct answer","Most of them would agree with me","A little easy",NA,NA
"2",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","practice","2","NULL","none","none","Somewhat wrong","Definitely there is a correct answer","Almost everyone would agree with me","Very easy",NA,NA
"3",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","1","Neg","Bad","Definitely there is a correct answer","Almost everyone would agree with me","Very easy",NA,NA
"4",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","6","Pos","Good","Probably there is a correct answer","Most of them would agree with me","Somewhat easy",NA,NA
"5",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","3","Neg","Somewhat wrong","Probably there is a correct answer","Most of them would agree with me","Somewhat easy",NA,NA
"6",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","10","Pos","Somewhat bad","Maybe no correct answer","Most of them would agree with me","A little easy",NA,NA
"7",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","8","Pos","Good","Maybe there is a correct answer","Most of them would agree with me","Somewhat easy",NA,NA
"8",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","5","Neg","Somewhat bad","Probably there is a correct answer","Most of them would agree with me","Somewhat easy",NA,NA
"9",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","9","Neg","Bad","Definitely there is a correct answer","Almost everyone would agree with me","Very easy",NA,NA
"10",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","4","Pos","Very Good","Definitely there is a correct answer","Almost everyone would agree with me","Very easy",NA,NA
"11",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","2","Pos","Very Good","Probably there is a correct answer","Most of them would agree with me","Very easy",NA,NA
"12",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","7","Neg","Good","Probably no correct answer","Most of them would agree with me","Somewhat easy",NA,NA
"13",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","fillers","filler","none","14","none","Bad","Probably there is a correct answer","Most of them would agree with me","A little easy",NA,NA
"14",29,"US","English","","","checked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","fillers","filler","none","5","none","Bad","Definitely there is a correct answer","Almost everyone would agree with me","Very easy",NA,NA
